epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
76,1312.55,1.14873,0.64776,1.07438,0.03781,0.94611,0.91293,0.97069,0.58354,1.23591,0.66117,1.11506,0.03182,0.000515,0.000515,0.000515
77,1330.39,1.15024,0.65958,1.07376,0.04036,0.95136,0.90472,0.9699,0.58994,1.22584,0.65936,1.11517,0.0311,0.0004952,0.0004952,0.0004952
78,1348.02,1.14978,0.6438,1.06848,0.03653,0.94858,0.9102,0.97137,0.59003,1.23397,0.65802,1.11469,0.03011,0.0004754,0.0004754,0.0004754
79,1365.9,1.1526,0.6556,1.07254,0.03913,0.93837,0.92245,0.96084,0.56863,1.23806,0.6666,1.11901,0.03079,0.0004556,0.0004556,0.0004556
80,1383.64,1.14753,0.66911,1.06766,0.03909,0.94636,0.91973,0.96811,0.58942,1.22242,0.65371,1.10732,0.03043,0.0004358,0.0004358,0.0004358
81,1400.56,1.13872,0.64888,1.05892,0.03731,0.92793,0.92843,0.96889,0.60353,1.21473,0.65348,1.11172,0.03095,0.000416,0.000416,0.000416
82,1418.18,1.13591,0.64667,1.0666,0.03712,0.9273,0.91977,0.9689,0.59706,1.22092,0.65505,1.10804,0.03038,0.0003962,0.0003962,0.0003962
83,1435.45,1.12815,0.63441,1.07336,0.03788,0.91995,0.93813,0.96956,0.60204,1.21093,0.65814,1.102,0.03116,0.0003764,0.0003764,0.0003764
84,1452.99,1.14492,0.64685,1.06247,0.03826,0.95179,0.91156,0.96995,0.61801,1.20705,0.65159,1.09928,0.03064,0.0003566,0.0003566,0.0003566
85,1470.48,1.13402,0.63683,1.06822,0.03603,0.94618,0.90892,0.96778,0.60547,1.22127,0.65201,1.10846,0.03233,0.0003368,0.0003368,0.0003368
86,1488.38,1.12131,0.633,1.0686,0.03632,0.93319,0.92653,0.96475,0.58912,1.21528,0.65116,1.10312,0.03083,0.000317,0.000317,0.000317
87,1505.52,1.11657,0.62433,1.0596,0.03595,0.93824,0.92789,0.96493,0.58923,1.21777,0.6475,1.10465,0.03141,0.0002972,0.0002972,0.0002972
88,1523.37,1.13405,0.6369,1.06476,0.03485,0.92026,0.94213,0.96723,0.5978,1.21714,0.65063,1.1055,0.03134,0.0002774,0.0002774,0.0002774
89,1540.34,1.12326,0.62905,1.05872,0.03547,0.92665,0.92815,0.96317,0.59137,1.20843,0.64105,1.10653,0.03113,0.0002576,0.0002576,0.0002576
90,1557.99,1.1286,0.62273,1.06499,0.03816,0.92356,0.95238,0.97043,0.60245,1.20417,0.65114,1.10513,0.03069,0.0002378,0.0002378,0.0002378
91,1587.93,1.12219,0.61376,1.08445,0.02837,0.92906,0.93333,0.96553,0.59324,1.22298,0.65651,1.11292,0.03099,0.000218,0.000218,0.000218
92,1605.01,1.11401,0.60418,1.07296,0.02889,0.93514,0.92203,0.96283,0.58208,1.21394,0.6463,1.10702,0.03139,0.0001982,0.0001982,0.0001982
93,1621.96,1.10476,0.59984,1.06686,0.02944,0.92411,0.91973,0.96398,0.59241,1.20494,0.64738,1.10231,0.03017,0.0001784,0.0001784,0.0001784
94,1638.89,1.12111,0.59974,1.07358,0.0295,0.92597,0.91893,0.96449,0.60074,1.20207,0.65289,1.09864,0.02999,0.0001586,0.0001586,0.0001586
95,1656,1.09767,0.59336,1.0559,0.02878,0.94163,0.91701,0.96529,0.60104,1.20353,0.65214,1.10173,0.03043,0.0001388,0.0001388,0.0001388
96,1672.97,1.09977,0.58729,1.06417,0.02906,0.91788,0.94558,0.96599,0.59226,1.2096,0.65304,1.106,0.03089,0.000119,0.000119,0.000119
97,1689.77,1.12194,0.59844,1.06737,0.02906,0.92494,0.93882,0.96522,0.59986,1.20805,0.6509,1.10409,0.0305,9.92e-05,9.92e-05,9.92e-05
98,1706.81,1.10828,0.59646,1.06261,0.02801,0.9311,0.93776,0.96631,0.59632,1.20888,0.64785,1.10562,0.03069,7.94e-05,7.94e-05,7.94e-05
99,1724.15,1.09964,0.58792,1.05859,0.02918,0.93433,0.93878,0.96699,0.59202,1.21139,0.64812,1.10448,0.03074,5.96e-05,5.96e-05,5.96e-05
100,1741.27,1.09612,0.58874,1.05497,0.02954,0.93065,0.93605,0.96529,0.59409,1.20868,0.64861,1.10194,0.03071,3.98e-05,3.98e-05,3.98e-05
