epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1069.9,1.62415,0.79254,0.00425,0.84557,0.87661,0.91881,0.50241,1.61724,0.67835,0.00498,0.000911,0.000911,0.000911
57,1087.54,1.61039,0.78179,0.0041,0.86179,0.88738,0.92713,0.51255,1.58797,0.66797,0.00483,0.0008912,0.0008912,0.0008912
58,1106.74,1.64813,0.82457,0.00419,0.83808,0.86277,0.9107,0.50459,1.61672,0.68636,0.00492,0.0008714,0.0008714,0.0008714
59,1125.27,1.64048,0.83171,0.00422,0.86552,0.84233,0.91381,0.5019,1.6142,0.67727,0.00501,0.0008516,0.0008516,0.0008516
60,1144.37,1.64324,0.78238,0.0043,0.863,0.86445,0.91796,0.50194,1.63286,0.67178,0.00515,0.0008318,0.0008318,0.0008318
61,1162.98,1.63444,0.79506,0.00429,0.85134,0.84408,0.91588,0.52614,1.5475,0.65377,0.00473,0.000812,0.000812,0.000812
62,1181.27,1.59983,0.78373,0.00415,0.85598,0.84585,0.90858,0.51655,1.55965,0.70122,0.00481,0.0007922,0.0007922,0.0007922
63,1200.19,1.58147,0.77277,0.0041,0.88199,0.86658,0.92726,0.52136,1.5838,0.66235,0.00491,0.0007724,0.0007724,0.0007724
64,1218.66,1.63116,0.81524,0.00408,0.86377,0.87166,0.91876,0.52642,1.54255,0.6653,0.00472,0.0007526,0.0007526,0.0007526
65,1237.42,1.5926,0.79196,0.00422,0.84606,0.87802,0.9191,0.52798,1.5252,0.69086,0.00459,0.0007328,0.0007328,0.0007328
66,1255.9,1.56418,0.77517,0.00418,0.8704,0.87802,0.92791,0.53342,1.50587,0.66011,0.00451,0.000713,0.000713,0.000713
67,1274.49,1.61568,0.7802,0.00402,0.87351,0.87802,0.92658,0.53516,1.53614,0.64836,0.00469,0.0006932,0.0006932,0.0006932
68,1293.05,1.57614,0.77683,0.00394,0.8707,0.84244,0.91373,0.52582,1.5376,0.69278,0.00465,0.0006734,0.0006734,0.0006734
69,1311.65,1.59328,0.78753,0.00402,0.8637,0.84547,0.91251,0.50424,1.57633,0.72049,0.00472,0.0006536,0.0006536,0.0006536
70,1330.38,1.58444,0.78544,0.00409,0.89973,0.84375,0.92432,0.52506,1.53095,0.69288,0.0046,0.0006338,0.0006338,0.0006338
71,1348.22,1.59936,0.79295,0.00398,0.86011,0.84625,0.91366,0.52926,1.5378,0.68579,0.00465,0.000614,0.000614,0.000614
72,1366.75,1.59449,0.77922,0.00399,0.89273,0.85133,0.92337,0.50806,1.58953,0.67506,0.00478,0.0005942,0.0005942,0.0005942
73,1385.9,1.55017,0.74865,0.00407,0.87648,0.87462,0.92965,0.53047,1.55461,0.63666,0.0047,0.0005744,0.0005744,0.0005744
74,1404.65,1.57005,0.77114,0.00404,0.88378,0.86785,0.92948,0.53945,1.53337,0.61995,0.00456,0.0005546,0.0005546,0.0005546
75,1422.13,1.58743,0.74544,0.00404,0.85836,0.87802,0.91717,0.51048,1.5927,0.64654,0.0048,0.0005348,0.0005348,0.0005348
76,1441.16,1.6098,0.77703,0.00403,0.85135,0.89072,0.92278,0.52605,1.55855,0.6338,0.00464,0.000515,0.000515,0.000515
77,1459.97,1.56392,0.73044,0.00401,0.87136,0.88945,0.92755,0.52699,1.5601,0.61164,0.00465,0.0004952,0.0004952,0.0004952
78,1478.96,1.58152,0.71941,0.00411,0.87728,0.88056,0.92727,0.5358,1.54745,0.59744,0.00472,0.0004754,0.0004754,0.0004754
79,1497.11,1.56602,0.72876,0.004,0.87541,0.87039,0.92394,0.53706,1.53533,0.62096,0.00463,0.0004556,0.0004556,0.0004556
