epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,6541.13,2.01201,1.26005,1.16492,0.77574,0.7032,0.76681,0.2758,2.28019,1.16098,1.26865,0.003466,0.003466,0.003466
68,6652.59,2.02309,1.24687,1.17628,0.79073,0.76797,0.78634,0.28896,2.2528,1.26605,1.24861,0.003367,0.003367,0.003367
69,6745.16,2.05707,1.26355,1.172,0.84391,0.75493,0.83501,0.3572,1.92463,1.11669,1.153,0.003268,0.003268,0.003268
70,6855.76,1.98855,1.22723,1.16762,0.79128,0.70637,0.79936,0.33795,2.02403,1.18937,1.18525,0.003169,0.003169,0.003169
71,6941.03,1.97635,1.24223,1.16291,0.77754,0.72279,0.76264,0.30686,2.1224,1.18132,1.19951,0.00307,0.00307,0.00307
72,7057.2,1.99549,1.25261,1.15378,0.76362,0.7761,0.81114,0.34806,1.98609,1.16558,1.16565,0.002971,0.002971,0.002971
73,7155.76,2.00045,1.25381,1.18017,0.77553,0.68107,0.71773,0.23688,2.4239,1.24721,1.31527,0.002872,0.002872,0.002872
74,7257.59,1.98199,1.20395,1.15532,0.78973,0.71724,0.77238,0.29927,2.13666,1.22174,1.20988,0.002773,0.002773,0.002773
75,7353.48,1.98199,1.21318,1.15044,0.80686,0.80636,0.83167,0.33863,2.09351,1.14351,1.20785,0.002674,0.002674,0.002674
76,7456.03,1.97564,1.18789,1.15804,0.80162,0.75508,0.79747,0.32612,2.10441,1.18529,1.20645,0.002575,0.002575,0.002575
77,7556.06,1.99082,1.19723,1.14798,0.82108,0.82341,0.83439,0.33862,2.07773,1.13915,1.18774,0.002476,0.002476,0.002476
78,7655.04,1.96828,1.19386,1.15897,0.81838,0.77724,0.82374,0.34302,2.026,1.15796,1.1721,0.002377,0.002377,0.002377
79,7724.75,1.96843,1.21824,1.16063,0.83283,0.75359,0.83769,0.35663,1.96541,1.12862,1.15262,0.002278,0.002278,0.002278
80,7830.63,1.94544,1.19883,1.14088,0.83146,0.79012,0.84309,0.35185,2.02826,1.10492,1.18184,0.002179,0.002179,0.002179
81,7931.2,1.94746,1.2082,1.15084,0.79853,0.78439,0.82175,0.34906,1.97218,1.15259,1.16432,0.00208,0.00208,0.00208
82,8028.13,1.94805,1.13913,1.13343,0.8199,0.75975,0.83229,0.35319,1.92316,1.14961,1.14602,0.001981,0.001981,0.001981
83,8124.97,1.96501,1.19313,1.15342,0.84638,0.79261,0.85036,0.36674,1.97526,1.173,1.15632,0.001882,0.001882,0.001882
84,8233.06,1.9561,1.21095,1.1397,0.81749,0.79097,0.84047,0.361,2.00524,1.11777,1.16272,0.001783,0.001783,0.001783
85,8328.74,1.95892,1.16084,1.14787,0.82346,0.7854,0.83406,0.35137,2.06331,1.11853,1.17436,0.001684,0.001684,0.001684
86,8432.34,1.94692,1.18723,1.14171,0.81124,0.79423,0.83021,0.34448,2.0821,1.12653,1.19543,0.001585,0.001585,0.001585
87,8501.42,1.93319,1.15255,1.15191,0.84187,0.78029,0.8338,0.35548,2.03631,1.08306,1.1814,0.001486,0.001486,0.001486
88,8624.9,1.92313,1.18176,1.1279,0.82787,0.79877,0.84352,0.36264,2.02146,1.0926,1.17992,0.001387,0.001387,0.001387
89,8709.96,1.93057,1.14117,1.12063,0.81207,0.80742,0.83363,0.35242,2.06528,1.09077,1.18836,0.001288,0.001288,0.001288
90,8814.15,1.90988,1.12554,1.1369,0.83002,0.80903,0.85692,0.37294,1.97634,1.08748,1.15347,0.001189,0.001189,0.001189
91,8913.22,1.80818,1.02957,1.11947,0.82143,0.80082,0.83962,0.33484,2.12866,1.11553,1.20261,0.00109,0.00109,0.00109
92,8993.71,1.77802,0.98777,1.10948,0.82769,0.80878,0.86102,0.37448,2.01882,1.09011,1.17628,0.000991,0.000991,0.000991
93,9050.33,1.77833,0.98578,1.125,0.81719,0.8193,0.84973,0.36342,2.00548,1.09353,1.16193,0.000892,0.000892,0.000892
94,9149.62,1.75993,0.97543,1.11077,0.81437,0.80287,0.8412,0.36884,1.99237,1.11123,1.15281,0.000793,0.000793,0.000793
95,9232,1.74749,0.98237,1.11613,0.84504,0.81109,0.84998,0.37183,1.9854,1.11509,1.14153,0.000694,0.000694,0.000694
96,9334.1,1.74525,0.95711,1.12537,0.85502,0.81725,0.86797,0.37162,1.99337,1.07277,1.14558,0.000595,0.000595,0.000595
97,9414.4,1.73619,0.94339,1.11335,0.86686,0.81109,0.85763,0.36457,2.03372,1.05511,1.16107,0.000496,0.000496,0.000496
98,9517.83,1.72249,0.93098,1.09624,0.8441,0.80046,0.85555,0.38086,1.98438,1.06369,1.13809,0.000397,0.000397,0.000397
99,9600.33,1.75854,0.95881,1.10909,0.84695,0.8152,0.8536,0.37864,1.9671,1.06082,1.12999,0.000298,0.000298,0.000298
100,9703.41,1.7265,0.92986,1.10229,0.84294,0.81314,0.85356,0.37277,1.96942,1.06823,1.1317,0.000199,0.000199,0.000199
